en	te
I must buy a new pair of shoes.	నేను తప్పనిసరిగా కొత్త జత బూట్లు కొనాలి.
How often do you take a shower?	మీరు ఎంత తరచుగా స్నానం చేస్తారు?
Many men want to be thin, too.	చాలా మంది పురుషులు కూడా సన్నగా ఉండాలని కోరుకుంటారు.
Did they ever find Tom?	వారు ఎప్పుడైనా టామ్‌ను కనుగొన్నారా?
He has a Toyota.	అతనికి టయోటా ఉంది.
She was asked not to speak at the meeting.	సమావేశంలో మాట్లాడవద్దని ఆమెను కోరారు.
I believe you all know Tom.	మీ అందరికీ టామ్ తెలుసని నేను నమ్ముతున్నాను.
We must stop Tom before he kills himself.	టామ్ తనను తాను చంపేముందు మనం అతన్ని ఆపాలి.
I want another beer.	నాకు మరో బీర్ కావాలి.
I want to apologize for everything I said.	నేను చెప్పిన ప్రతిదానికీ క్షమాపణ చెప్పాలనుకుంటున్నాను.
There are some differences.	కొన్ని తేడాలు ఉన్నాయి.
They might not notice that Tom isn't here.	టామ్ ఇక్కడ లేడని వారు గమనించకపోవచ్చు.
The new telescope was shipped in a huge wooden box.	కొత్త టెలిస్కోప్ భారీ చెక్క పెట్టెలో రవాణా చేయబడింది.
Tom said that he felt cold.	టామ్ తనకు చలిగా అనిపించింది.
Tom was obviously scared.	టామ్ స్పష్టంగా భయపడ్డాడు.
It must've been terrible.	ఇది భయంకరమైనది.
I want to come back next year.	నేను వచ్చే ఏడాది తిరిగి రావాలనుకుంటున్నాను.
Mary is a brave woman.	మేరీ ధైర్యవంతురాలు.
The sky was gray all morning.	ఉదయం అంతా ఆకాశం బూడిద రంగులో ఉంది.
I never liked Christmas.	నేను క్రిస్మస్‌ను ఎప్పుడూ ఇష్టపడలేదు.
I'm considering becoming a French teacher.	నేను ఫ్రెంచ్ ఉపాధ్యాయుడిగా మారాలని ఆలోచిస్తున్నాను.
I didn't know you'd be jealous.	మీరు అసూయపడతారని నాకు తెలియదు.
Tom told me the book was interesting.	టామ్ పుస్తకం ఆసక్తికరంగా ఉందని నాకు చెప్పారు.
Is it cheaper to call after nine?	తొమ్మిది తర్వాత కాల్ చేయడం చౌకైనదా?
Tom buys me things that I want.	టామ్ నాకు కావలసిన వస్తువులను కొంటాడు.
Where can I advertise for a used car?	ఉపయోగించిన కారు కోసం నేను ఎక్కడ ప్రకటన చేయవచ్చు?
The couple broke off their engagement.	ఈ జంట వారి నిశ్చితార్థాన్ని విరమించుకున్నారు.
I want to date other women.	నేను ఇతర మహిళలతో డేటింగ్ చేయాలనుకుంటున్నాను.
Tom says he was fired.	టామ్ తనను తొలగించారని చెప్పారు.
She was in the hospital for six weeks because she was sick.	ఆమె అనారోగ్యంతో ఆరు వారాలపాటు ఆసుపత్రిలో ఉంది.
Please inform me of any change in his condition.	దయచేసి అతని స్థితిలో ఏదైనా మార్పు గురించి నాకు తెలియజేయండి.
Tom is signing documents.	టామ్ పత్రాలపై సంతకం చేస్తున్నాడు.
I'm sure of this.	నేను ఈ విషయంలో ఖచ్చితంగా ఉన్నాను.
Tom and Mary wanted to be together.	టామ్ మరియు మేరీ కలిసి ఉండాలని కోరుకున్నారు.
Both boys and girls should take cooking class in school.	బాలురు మరియు బాలికలు ఇద్దరూ పాఠశాలలో వంట తరగతి తీసుకోవాలి.
Where's it used?	ఇది ఎక్కడ ఉపయోగించబడింది?
Tom sells cars.	టామ్ కార్లను విక్రయిస్తాడు.
The automobile stopped.	ఆటోమొబైల్ ఆగిపోయింది.
playing with fire	నిప్పుతో ఆడుకుంటున్నాడు
My watch loses three minutes a week.	నా గడియారం వారానికి మూడు నిమిషాలు కోల్పోతుంది.
Let us tell you why we came.	మేము ఎందుకు వచ్చామో మీకు చెప్తాము.
I'll tell you everything that you want to know.	మీరు తెలుసుకోవాలనుకునే ప్రతిదీ మీకు చెప్తాను.
Sunil loves his mother.	సునీల్ తన తల్లిని ప్రేమిస్తాడు.
She wanted him to say that he loved her.	అతను తనను ప్రేమిస్తున్నాడని అతను చెప్పాలని ఆమె కోరుకుంది.
She's busy.	ఆమె బిజీగా ఉంది.
I strongly suspected that he had been lying.	అతను అబద్ధం చెప్పాడని నేను గట్టిగా అనుమానించాను.
Don't tell my wife that.	నా భార్యకు అలా చెప్పకండి.
She is anxious about your health.	ఆమె మీ ఆరోగ్యం గురించి ఆత్రుతగా ఉంది.
Tom sometimes agrees with me.	టామ్ కొన్నిసార్లు నాతో అంగీకరిస్తాడు.
Have you ever climbed Mt. Fuji?	మీరు ఎప్పుడైనా మౌంట్ ఎక్కారా?
Tom thought that Mary was John's sister.	టామ్ మేరీ జాన్ సోదరి అని అనుకున్నాడు.
I've learned so much from you.	నేను మీ నుండి చాలా నేర్చుకున్నాను.
It's time to get up.	ఇది లేవడానికి సమయం.
Both Tom and I'll be busy this afternoon.	టామ్ మరియు నేను ఇద్దరూ ఈ మధ్యాహ్నం బిజీగా ఉంటాము.
You can hear English on Channel 1, and Japanese on Channel 7.	మీరు ఛానల్ 1 లో ఇంగ్లీష్ మరియు ఛానల్ 7 లో జపనీస్ వినవచ్చు.
These are the new ones.	ఇవి కొత్తవి.
I'm looking for a job.	నేను ఉద్యోగం కోసం చూస్తున్నాను.
Tom told us he loved skiing.	టామ్ మాకు స్కీయింగ్ అంటే చాలా ఇష్టమని చెప్పాడు.
That's his weak spot.	అది అతని బలహీనమైన ప్రదేశం.
Do you have blankets?	మీకు దుప్పట్లు ఉన్నాయా?
Tom can't whistle.	టామ్ ఈల వేయలేడు.
Nobody said a thing.	ఎవరూ ఏమీ అనలేదు.
How's your day going?	నీ రోజు ఎలా గడుస్తోంది?
Tom couldn't believe that someone wanted to kill him.	ఎవరైనా తనను చంపాలని కోరుకుంటున్నారని టామ్ నమ్మలేకపోయాడు.
I have terrible handwriting.	నాకు భయంకరమైన చేతివ్రాత ఉంది.
I know you hate it.	మీరు దానిని ద్వేషిస్తున్నారని నాకు తెలుసు.
Put it on my tab.	నా ట్యాబ్‌లో ఉంచండి.
Where did you get your camera repaired?	మీ కెమెరా మరమ్మతులు ఎక్కడ పొందారు?
Are you saying this doesn't matter?	ఇది పట్టింపు లేదని మీరు చెబుతున్నారా?
She is from Hokkaido, but is now living in Tokyo.	ఆమె హక్కైడోకు చెందినది, కానీ ఇప్పుడు టోక్యోలో నివసిస్తోంది.
How can I learn Telugu?	నేను తెలుగు ఎలా నేర్చుకోవాలి?
You've got to apologize.	మీరు క్షమాపణ చెప్పాలి.
Shall we take a taxi?	మనం టాక్సీ తీసుకుందా?
start	ప్రారంభించు
How will that decision affect us?	ఆ నిర్ణయం మనల్ని ఎలా ప్రభావితం చేస్తుంది?
I know what I want.	నాకు ఏమి కావాలో నాకు తెలుసు.
I expect a detailed report.	నేను ఒక వివరణాత్మక నివేదికను ఆశిస్తున్నాను.
The sea gulls are flying low.	సముద్రపు గల్లాలు తక్కువగా ఎగురుతున్నాయి.
Gangadhar lives with his family.	గంగాధర్ కుటుంబంతో కలిసి ఉంటున్నాడు.
You did your job well.	మీరు మీ పని బాగా చేసారు.
We took him to the hospital.	మేము అతన్ని ఆసుపత్రికి తీసుకువెళ్ళాము.
I can't even remember what Tom looks like.	టామ్ ఎలా ఉంటాడో నాకు గుర్తులేదు.
Tom told me I was mistaken.	టామ్ నాకు పొరపాటు అని చెప్పాడు.
I made tea for Tom.	నేను టామ్ కోసం టీ తయారు చేసాను.
Tom told me I shouldn't talk to you.	నేను మీతో మాట్లాడకూడదని టామ్ చెప్పాడు.
The teacher wrote French words on the blackboard.	గురువు నల్లబల్లపై ఫ్రెంచ్ పదాలు రాశారు.
Is your mother at home now?	మీ తల్లి ఇప్పుడు ఇంట్లో ఉందా?
They're all equal.	వారంతా సమానం.
Who taught Tom how to speak French?	టామ్ ఫ్రెంచ్ మాట్లాడటం ఎలా నేర్పించారు?
Tom and Mary believed John.	టామ్ మరియు మేరీ జాన్‌ను నమ్మారు.
Tom is the only person Mary says she can trust.	మేరీ తనను నమ్మగలదని చెప్పే ఏకైక వ్యక్తి టామ్.
It isn't big.	ఇది పెద్దది కాదు.
I'm not going to tell Tom anything.	నేను టామ్‌కు ఏమీ చెప్పను.
Put out your cigarettes.	మీ సిగరెట్లు బయట పెట్టండి.
Is Tom smarter than you?	టామ్ మీ కంటే తెలివిగా ఉన్నారా?
OK, I think we can begin.	సరే, మనం ప్రారంభించవచ్చని అనుకుంటున్నాను.
Did Tom tell you he's studying French?	టామ్ అతను ఫ్రెంచ్ చదువుతున్నాడని మీకు చెప్పాడా?
Can you tell us what it is?	అది ఏమిటో మాకు చెప్పగలరా?
Washington was the most famous man in America.	వాషింగ్టన్ అమెరికాలో అత్యంత ప్రసిద్ధ వ్యక్తి.
We're not worried about that at all.	మేము దాని గురించి ఆందోళన చెందలేదు.
All you have to do is fill in this form.	మీరు చేయాల్సిందల్లా ఈ ఫారమ్ నింపండి.
We'll stay and fight.	మేము ఉండి పోరాడతాము.
What do I have to say to convince you?	మిమ్మల్ని ఒప్పించటానికి నేను ఏమి చెప్పాలి?
You always talk back to me, don't you?	మీరు ఎల్లప్పుడూ నాతో తిరిగి మాట్లాడతారు, లేదా?
Tom swore he wouldn't do that.	టామ్ తాను అలా చేయనని ప్రమాణం చేశాడు.
I'm trying to stay calm.	నేను ప్రశాంతంగా ఉండటానికి ప్రయత్నిస్తున్నాను.
I had lunch with Tom today.	నేను ఈ రోజు టామ్‌తో కలిసి భోజనం చేశాను.
Are you sleepy?	నిద్రోస్తుందా?
Both of my brothers are married.	నా సోదరులు ఇద్దరూ వివాహం చేసుకున్నారు.
Their house is near here.	వారి ఇల్లు ఇక్కడ ఉంది.
Tell Tom that I'll prune his trees for him.	టామ్ కి చెప్పండి నేను అతని చెట్లను కత్తిరించుకుంటాను.
I've never been to Australia.	నేను ఎప్పుడూ ఆస్ట్రేలియాకు వెళ్ళలేదు.
I don't have a lot of patients.	నాకు చాలా మంది రోగులు లేరు.
Our next meeting will be held next on October 20th.	మా తదుపరి సమావేశం అక్టోబర్ 20 న జరుగుతుంది.
Tom had a narrow escape from death.	టామ్ మరణం నుండి ఇరుకైన తప్పించుకున్నాడు.
Carry on with your work.	మీ పనిని కొనసాగించండి.
Tom popped into the supermarket on his way home to buy some milk.	టామ్ కొంచెం పాలు కొనడానికి ఇంటికి వెళ్ళేటప్పుడు సూపర్ మార్కెట్లోకి ప్రవేశించాడు.
I don't think they're safe.	వారు సురక్షితంగా ఉన్నారని నేను అనుకోను.
She wrapped her arms around his neck.	ఆమె అతని చేతులను అతని మెడలో చుట్టింది.
hungry	ఆకలి
I can't find Tom anywhere.	నేను టామ్‌ను ఎక్కడా కనుగొనలేను.
Mary is a pretty girl, isn't she?	మేరీ ఒక అందమైన అమ్మాయి, ఆమె కాదా?
rich	ధనవంతుడు
You can't be so sure.	మీరు అంత ఖచ్చితంగా ఉండలేరు.
We have a complete set of the recordings of Beethoven's symphonies.	బీతొవెన్ యొక్క సింఫొనీల రికార్డింగ్‌ల పూర్తి సెట్ మాకు ఉంది.
Summer has just begun.	వేసవి ఇప్పుడే ప్రారంభమైంది.
I'm glad to hear you're better.	మీరు బాగున్నారని వినడానికి నేను సంతోషిస్తున్నాను.
I'd like to introduce Tom to Mary.	నేను టామ్‌ను మేరీకి పరిచయం చేయాలనుకుంటున్నాను.
Tom is loyal to his wife.	టామ్ తన భార్యకు విధేయుడు.
I didn't receive any notice.	నాకు నోటీసు రాలేదు.
School was cancelled because of the snow.	మంచు కారణంగా పాఠశాల రద్దు చేయబడింది.
Almost no one thinks that we are sisters.	మేము సోదరీమణులు అని దాదాపు ఎవరూ అనుకోరు.
They don't understand me when I speak German.	నేను జర్మన్ మాట్లాడేటప్పుడు వారు నన్ను అర్థం చేసుకోరు.
Tom tricked Mary into paying for his ticket.	టామ్ తన టికెట్ కోసం మేరీని మోసగించాడు.
Where did you get all this stuff?	ఈ విషయాలన్నీ మీకు ఎక్కడ లభించాయి?
Can you translate this manuscript from French to English?	మీరు ఈ మాన్యుస్క్రిప్ట్‌ను ఫ్రెంచ్ నుండి ఇంగ్లీషులోకి అనువదించగలరా?
Tom flew to Boston today.	టామ్ ఈ రోజు బోస్టన్‌కు వెళ్లాడు.
great movie	గొప్ప సినిమా
Tom has a kind heart.	టామ్ దయగల హృదయాన్ని కలిగి ఉన్నాడు.
They'll do what I tell them to do.	నేను చేయమని చెప్పినట్లు వారు చేస్తారు.
Tom didn't seem happy to see me.	టామ్ నన్ను చూడటం సంతోషంగా అనిపించలేదు.
Come here.	ఇక్కడికి రండి.
Tom and Mary are close relatives.	టామ్ మరియు మేరీ దగ్గరి బంధువులు.
Tom wants Mary and I to do that by ourselves.	టామ్ మేరీ మరియు నేను మనమే చేయాలని కోరుకుంటున్నాను.
I found out something interesting today.	నేను ఈ రోజు ఆసక్తికరమైన విషయం కనుగొన్నాను.
Tom plays the piano very well.	టామ్ పియానోను బాగా వాయించాడు.
Tom isn't used to city life.	టామ్ నగర జీవితానికి అలవాటుపడలేదు.
We were kids together.	మేము కలిసి పిల్లలు.
Tom is a much better singer than I am.	టామ్ నాకన్నా మంచి గాయకుడు.
don't manipulate me	నన్ను తారుమారు చేయవద్దు
Tom switched off the dryer.	టామ్ డ్రైయర్‌ను స్విచ్ ఆఫ్ చేశాడు.
You two may leave.	మీరిద్దరూ వెళ్ళవచ్చు.
Tom said he couldn't walk.	టామ్ తాను నడవలేనని చెప్పాడు.
What would you do in my position?	నా స్థానంలో మీరు ఏమి చేస్తారు?
You're welcome to any book in my library.	నా లైబ్రరీలోని ఏదైనా పుస్తకానికి మీకు స్వాగతం.
Sanskrit is an ancient language that originated in the Indian subcontinent.	సంస్కృతం భారతీయ ఉపఖండంలో ఉద్భవించిన ప్రాచీన భాష.
They sat down.	వారు కూర్చున్నారు.
Is your car black?	మీ కారు నల్లగా ఉందా?
Tom is thirteen, but he still believes in Santa.	టామ్ పదమూడు సంవత్సరాలు, కానీ అతను ఇప్పటికీ శాంటాను నమ్ముతాడు.
We think you're right.	మీరు సరైనవారని మేము భావిస్తున్నాము.
They were silent.	వారు మౌనంగా ఉన్నారు.
ourself	మనమే
Do you think Tom saw it?	టామ్ చూశానని మీరు అనుకుంటున్నారా?
This dish is too spicy.	ఈ వంటకం చాలా కారంగా ఉంటుంది.
quickly	త్వరగా
Can you imagine what life would be like without television?	టెలివిజన్ లేకుండా జీవితం ఎలా ఉంటుందో మీరు Can హించగలరా?
Cricket player from Chennai	చెన్నైకి చెందిన క్రికెట్ ప్లేయర్
Tom put the kids to bed.	టామ్ పిల్లలను మంచానికి పెట్టాడు.
I don't have a Twitter account.	నాకు ట్విట్టర్ ఖాతా లేదు.
Tom asked Mary some stupid questions that she refused to answer.	టామ్ మేరీకి కొన్ని తెలివితక్కువ ప్రశ్నలను అడిగారు.
forgot	మర్చిపోయాను
A temple is a building reserved for spiritual rituals and activities such as prayer and sacrifice.	దేవాలయం అనేది ఆధ్యాత్మిక ఆచారాలు మరియు ప్రార్థన మరియు త్యాగం వంటి కార్యకలాపాల కోసం ప్రత్యేకించబడిన భవనం.
He was not about to admit his mistake.	అతను తన తప్పును అంగీకరించడం లేదు.
slowly	నెమ్మదిగా
You know I love you!	నేను నిన్ను ప్రేమిస్తున్నానని నీకు తెలుసు!
You probably just have a cold.	మీకు జలుబు ఉండవచ్చు.
Why do you think Tom wanted me to do that?	టామ్ నన్ను అలా చేయాలని ఎందుకు అనుకున్నాడు?
What does this machine do exactly?	ఈ యంత్రం సరిగ్గా ఏమి చేస్తుంది?
Father	తండ్రి
I've got a pain in my side.	నా వైపు నొప్పి వచ్చింది.
Tom put his shirt on a hanger.	టామ్ తన చొక్కాను హ్యాంగర్ మీద ఉంచాడు.
Tom didn't need to wait.	టామ్ వేచి ఉండాల్సిన అవసరం లేదు.
Maybe I shouldn't have done that.	బహుశా నేను అలా చేయకూడదు.
My aunt had three kids.	నా అత్తకు ముగ్గురు పిల్లలు ఉన్నారు.
Tom didn't notice the change.	టామ్ మార్పును గమనించలేదు.
I got a smooth shave.	నాకు మృదువైన గొరుగుట వచ్చింది.
I see life differently now.	నేను ఇప్పుడు జీవితాన్ని భిన్నంగా చూస్తున్నాను.
He feels very happy.	అతను చాలా సంతోషంగా ఉన్నాడు.
If Tom wasn't so stupid, he would've understood quicker.	టామ్ అంత తెలివితక్కువవాడు కాకపోతే, అతను త్వరగా అర్థం చేసుకున్నాడు.
I use Google almost every day.	నేను దాదాపు ప్రతిరోజూ గూగుల్‌ని ఉపయోగిస్తాను.
Tom said that he needed a rest.	తనకు విశ్రాంతి అవసరమని టామ్ చెప్పాడు.
The police can't stop this.	పోలీసులు దీనిని ఆపలేరు.
This box is empty. It has nothing in it.	ఈ పెట్టె ఖాళీగా ఉంది.
I'll dream about you.	నేను మీ గురించి కలలు కంటున్నాను.
I hope you and Tom will have a good time.	మీకు మరియు టామ్‌కు మంచి సమయం లభిస్తుందని నేను ఆశిస్తున్నాను.
Is it true that Tom can't see very well out of his left eye?	టామ్ తన ఎడమ కన్ను నుండి బాగా చూడలేడు అనేది నిజమేనా?
Shadow him.	అతనికి నీడ.
I don't support his ideas.	నేను అతని ఆలోచనలకు మద్దతు ఇవ్వను.
I've been to the dentist's.	నేను దంతవైద్యుని వద్దకు వెళ్లాను.
Everything	అంతా(ప్రతిదీ)
I am very happy to meet you	మిమ్మల్ని కలవడం నాకు చాలా సంతోషంగా ఉంది
We should wait for Tom.	మేము టామ్ కోసం వేచి ఉండాలి.
Tom swam with the dolphins.	టామ్ డాల్ఫిన్లతో ఈదుకున్నాడు.
Tom's unstoppable.	టామ్ యొక్క ఆపుకోలేనిది.
Where	ఎక్కడ
Look what you've done to me.	మీరు నాకు ఏమి చేశారో చూడండి.
I just don't think I'm successful enough.	నేను తగినంత విజయవంతమయ్యానని నేను అనుకోను.
Tom told Mary to tell the truth.	టామ్ మేరీకి నిజం చెప్పమని చెప్పాడు.
I've been looking for Tom.	నేను టామ్ కోసం చూస్తున్నాను.
Tom cut his sister a piece of cake.	టామ్ తన సోదరికి కేక్ ముక్కను కత్తిరించాడు.
I respect you for what you have done.	మీరు చేసిన పనికి నేను నిన్ను గౌరవిస్తాను.
Going to Nellore to Vellore.	నెల్లూరు నుంచి వేలూరు వెళ్తున్నారు.
Tom isn't having fun.	టామ్ సరదాగా లేడు.
I'm not strong enough to do that.	నేను అలా చేయటానికి బలంగా లేను.
I think I speak French about as well as Tom does.	నేను టామ్ గురించి ఫ్రెంచ్ మాట్లాడతాను.
Choose one.	ఒకటి ఎంచుకోండి.
Tom speaks French better than Mary does.	టామ్ మేరీ కంటే ఫ్రెంచ్ బాగా మాట్లాడతాడు.
I don't think I impressed Tom.	నేను టామ్‌ను ఆకట్టుకున్నాను.
I saw Tom sitting at the bar alone, drinking wine.	టామ్ ఒంటరిగా బార్ వద్ద కూర్చుని, వైన్ తాగడం చూశాను.
You're avoiding me.	మీరు నన్ను తప్పించుకుంటున్నారు.
Does Tom really have a girlfriend?	టామ్‌కు నిజంగా స్నేహితురాలు ఉందా?
I'd forgotten about that.	నేను దాని గురించి మరచిపోయాను.
If the weather is nice tomorrow, we will have a picnic.	రేపు వాతావరణం బాగుంటే, మాకు పిక్నిక్ ఉంటుంది.
I won't always be around.	నేను ఎప్పుడూ చుట్టూ ఉండను.
It had to be you.	ఇది మీరు అయి ఉండాలి.
I'm wasting my time.	నేను నా సమయాన్ని వృధా చేస్తున్నాను.
I slept only two hours.	నేను రెండు గంటలు మాత్రమే పడుకున్నాను.
Mother	అమ్మా
He put salt into his cup of coffee by mistake.	అతను పొరపాటున తన కప్పు కాఫీలో ఉప్పు వేశాడు.
We all want to be liked.	మనమందరం ఇష్టపడాలని కోరుకుంటున్నాము.
Tom's wicked.	టామ్ యొక్క దుష్ట.
Tom was the one who got punished.	శిక్ష అనుభవించిన వ్యక్తి టామ్.
Where is your brother?	మీ సోదరుడు ఎక్కడ?
Have you spent a lot of time with Tom?	మీరు టామ్‌తో చాలా సమయం గడిపారు?
I forgot my password.	నేను నా పాస్వర్డ్ను మర్చిపోయాను.
I am coming from Ahmedabad	నేను అహ్మదాబాద్ నుండి వస్తున్నాను
It's too painful.	ఇది చాలా బాధాకరమైనది.
Why don't we have dinner?	మనకు ఎందుకు విందు లేదు?
Native place	స్వస్థలము
Tom has been managing just fine.	టామ్ బాగానే ఉన్నాడు.
I can't let you do this.	నేను దీన్ని మీకు అనుమతించలేను.
Mom did not mention it.	అమ్మ దాని గురించి ప్రస్తావించలేదు.
Could you show me this bag?	మీరు ఈ బ్యాగ్ నాకు చూపించగలరా?
I see someone waving a white flag.	ఎవరో తెల్ల జెండా aving పుతూ నేను చూస్తున్నాను.
What do you call this animal in French?	మీరు ఈ జంతువును ఫ్రెంచ్ భాషలో ఏమని పిలుస్తారు?
Tom wanted to quit smoking.	టామ్ ధూమపానం మానేయాలని అనుకున్నాడు.
Brother	సోదరుడు
Tom said he'll wait.	టామ్ అతను వేచి ఉంటానని చెప్పాడు.
You must get rid of such a habit.	మీరు అలాంటి అలవాటును వదిలించుకోవాలి.
We stayed behind to help Tom.	టామ్‌కు సహాయం చేయడానికి మేము వెనుక ఉండిపోయాము.
Chatrapati shivaji one of the most powerful empires in India during the 17th and 18th centuries.	చత్రపతి శివాజీ 17వ మరియు 18వ శతాబ్దాలలో భారతదేశంలోని అత్యంత శక్తివంతమైన సామ్రాజ్యాలలో ఒకటి.
Mary demanded her money back.	మేరీ తన డబ్బును తిరిగి డిమాండ్ చేసింది.
He lost his temper and shouted at me.	అతను నిగ్రహాన్ని కోల్పోయాడు మరియు నాపై అరిచాడు.
I don't feel like working today.	ఈ రోజు పని చేయాలని నాకు అనిపించదు.
Tom can't help us today.	టామ్ ఈ రోజు మాకు సహాయం చేయలేడు.
Tom said that he had been busy.	టామ్ తాను బిజీగా ఉన్నానని చెప్పాడు.
I'm getting bored.	నేను విసుగు చెందుతున్నాను.
Tom asked us not to make any noise.	టామ్ మాకు శబ్దం చేయవద్దని కోరాడు.
I've always known that this would happen someday.	ఇది ఏదో ఒక రోజు జరుగుతుందని నాకు తెలుసు.
The first girl I ever kissed was Mary.	నేను ముద్దు పెట్టుకున్న మొదటి అమ్మాయి మేరీ.
I still love you very much.	నేను ఇప్పటికీ నిన్ను చాలా ప్రేమిస్తున్నాను.
I wish I were rich.	నేను ధనవంతుడిని అని కోరుకుంటున్నాను.
Tom doesn't feel like doing that now.	టామ్ ఇప్పుడు అలా చేస్తున్నట్లు అనిపించదు.
Telugu to hindi translation	తెలుగు నుండి హిందీకి అనువాదం
How many times did you visit your grandparents last year?	గత సంవత్సరం మీరు మీ తాతామామలను ఎన్నిసార్లు సందర్శించారు?
It's not serious.	ఇది తీవ్రంగా లేదు.
Thousands of homes were destroyed.	వేలాది గృహాలు ధ్వంసమయ్యాయి.
I forgot to lock the front door.	నేను ముందు తలుపు లాక్ చేయడం మర్చిపోయాను.
A mile is about 1,600 meters.	ఒక మైలు 1,600 మీటర్లు.
Don't dress like a tourist.	పర్యాటకుడిలా దుస్తులు ధరించవద్దు.
How do you like that?	మీకు అది ఎలా ఇష్టం?
They arrived at the hotel.	వారు హోటల్ వద్దకు వచ్చారు.
Why don't you leave, Tom?	టామ్, మీరు ఎందుకు వెళ్లరు?
Hopefully, we'll see Tom today.	ఆశాజనక, మేము ఈ రోజు టామ్‌ను చూస్తాము.
Tom has a secret room in his house.	టామ్ తన ఇంట్లో ఒక రహస్య గది ఉంది.
These aren't yours, are they?	ఇవి మీవి కాదా?
Some boys came into the classroom.	కొంతమంది కుర్రాళ్ళు తరగతి గదిలోకి వచ్చారు.
Tom was defeated.	టామ్ ఓడిపోయాడు.
Lata Mangeshkar is a legendary Indian playback singer who has sung in over a thousand Hindi films, as well as in various other Indian and foreign languages.	లతా మంగేష్కర్ ఒక పురాణ భారతీయ నేపథ్య గాయని, ఆమె వెయ్యికి పైగా హిందీ చిత్రాలలో, అలాగే అనేక ఇతర భారతీయ మరియు విదేశీ భాషలలో పాడింది.
Everybody jumped into the pool.	అందరూ కొలనులోకి దూకేశారు.
Sai is feeling good	సాయికి మంచి అనుభూతి కలుగుతోంది
How do you feel now?	ఇప్పుడు మీకు ఎలా అనిపిస్తుంది?
Tom is the first guy Mary has really been interested in since she broke up with John.	జాన్ జాన్‌తో విడిపోయినప్పటి నుండి మేరీకి నిజంగా ఆసక్తి ఉన్న మొదటి వ్యక్తి టామ్.
Tom isn't a student.	టామ్ విద్యార్థి కాదు.
Tom doesn't know how sick Mary is.	మేరీ ఎంత అనారోగ్యంతో ఉన్నారో టామ్‌కు తెలియదు.
Don't talk with your mouth full.	మీ నోటితో పూర్తిగా మాట్లాడకండి.
I want to wash my hair.	నేను నా జుట్టు కడగాలి.
Bring me the newspaper.	నాకు వార్తాపత్రిక తీసుకురండి.
Directions	దిశలు
The result will satisfy him.	ఫలితం అతన్ని సంతృప్తిపరుస్తుంది.
You're turning red.	మీరు ఎరుపు రంగులోకి మారుతున్నారు.
S. P. Balasubrahmanyam, was a legendary Indian playback singer and music composer who primarily worked in the Tamil, Telugu, Kannada, Hindi, and Malayalam film industries.	S. P. బాలసుబ్రహ్మణ్యం, ప్రముఖ భారతీయ నేపథ్య గాయకుడు మరియు సంగీత స్వరకర్త, అతను ప్రధానంగా తమిళం, తెలుగు, కన్నడ, హిందీ మరియు మలయాళ చిత్ర పరిశ్రమలలో పనిచేశాడు.
name	పేరు
I couldn't eat fish when I was a child.	నేను చిన్నతనంలో చేపలు తినలేను.
Odd, isn't it? We should have already arrived.	బేసి, కాదా?
No one's hungry.	ఎవరికీ ఆకలి లేదు.
Who is your favorite pianist?	మీకు ఇష్టమైన పియానిస్ట్ ఎవరు?
Didn't you know that Tom and I needed to do that?	టామ్ మరియు నేను అలా చేయాల్సిన అవసరం ఉందని మీకు తెలియదా?
It's likely a mistake.	ఇది పొరపాటు.
How many people are on board the ship?	ఓడలో ఎంత మంది ఉన్నారు?
She's thirty-three.	ఆమె ముప్పై మూడు.
There are three printing presses in the workshop.	వర్క్‌షాప్‌లో మూడు ప్రింటింగ్ ప్రెస్‌లు ఉన్నాయి.
Do you know anybody who speaks five languages?	ఐదు భాషలు మాట్లాడే ఎవరైనా మీకు తెలుసా?
Please don't tell anyone I did that.	నేను అలా చేశానని ఎవరికీ చెప్పవద్దు.
I sat down next to him.	నేను అతని పక్కన కూర్చున్నాను.
end	ముగింపు
Nellore has a rich history and cultural heritage, with several historical landmarks and temples that attract tourists from all over the world.	నెల్లూరుకు గొప్ప చరిత్ర మరియు సాంస్కృతిక వారసత్వం ఉంది, అనేక చారిత్రక ప్రదేశాలు మరియు దేవాలయాలు ప్రపంచం నలుమూలల నుండి పర్యాటకులను ఆకర్షిస్తాయి.
Tom isn't my uncle.	టామ్ నా మామయ్య కాదు.
I'm in the eleventh grade.	నేను పదకొండవ తరగతిలో ఉన్నాను.
The computer is broken.	కంప్యూటర్ విరిగిపోయింది.
I didn't get the joke.	నాకు జోక్ రాలేదు.
I didn't swim because it was too cold.	చాలా చల్లగా ఉన్నందున నేను ఈత కొట్టలేదు.
I don't think I've ever been this happy.	నేను ఇంత సంతోషంగా ఉన్నానని నేను అనుకోను.
sports	క్రీడలు
I think you know what I'm talking about.	నేను ఏమి మాట్లాడుతున్నానో మీకు తెలుసని అనుకుంటున్నాను.
Tom is wearing an expensive suit.	టామ్ ఖరీదైన సూట్ ధరించి ఉన్నాడు.
The city has a railway station that is part of the South Central Railway network.	నగరంలో దక్షిణ మధ్య రైల్వే నెట్‌వర్క్‌లో భాగమైన రైల్వే స్టేషన్ ఉంది.
Tom and I both live and work in Australia.	టామ్ మరియు నేను ఇద్దరూ ఆస్ట్రేలియాలో నివసిస్తున్నాము మరియు పని చేస్తున్నాము.
